Paper URL,Reviewer,Pre-rebuttal Score,Post-rebuttal Score
https://papers.miccai.org/miccai-2024/009-Paper0219.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/009-Paper0219.html,Reviewer 2,5,N/A
https://papers.miccai.org/miccai-2024/009-Paper0219.html,Reviewer 3,6,N/A
https://papers.miccai.org/miccai-2024/010-Paper2774.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/010-Paper2774.html,Reviewer 2,5,N/A
https://papers.miccai.org/miccai-2024/010-Paper2774.html,Reviewer 3,6,N/A
https://papers.miccai.org/miccai-2024/011-Paper2364.html,Reviewer 1,2,3
https://papers.miccai.org/miccai-2024/011-Paper2364.html,Reviewer 2,3,3
https://papers.miccai.org/miccai-2024/011-Paper2364.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/012-Paper2514.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/012-Paper2514.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/012-Paper2514.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/013-Paper1668.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/013-Paper1668.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/013-Paper1668.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/014-Paper1802.html,Reviewer 1,2,N/A
https://papers.miccai.org/miccai-2024/014-Paper1802.html,Reviewer 2,4,5
https://papers.miccai.org/miccai-2024/014-Paper1802.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/015-Paper0143.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/015-Paper0143.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/015-Paper0143.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/016-Paper1535.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/016-Paper1535.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/016-Paper1535.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/017-Paper1165.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/017-Paper1165.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/017-Paper1165.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/018-Paper1214.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/018-Paper1214.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/018-Paper1214.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/019-Paper4063.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/019-Paper4063.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/019-Paper4063.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/020-Paper4180.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/020-Paper4180.html,Reviewer 2,5,N/A
https://papers.miccai.org/miccai-2024/020-Paper4180.html,Reviewer 3,6,N/A
https://papers.miccai.org/miccai-2024/021-Paper0148.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/021-Paper0148.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/021-Paper0148.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/022-Paper1213.html,Reviewer 1,3,5
https://papers.miccai.org/miccai-2024/022-Paper1213.html,Reviewer 2,4,5
https://papers.miccai.org/miccai-2024/022-Paper1213.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/023-Paper2715.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/023-Paper2715.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/023-Paper2715.html,Reviewer 3,4,5
https://papers.miccai.org/miccai-2024/023-Paper2715.html,Reviewer 4,5,5
https://papers.miccai.org/miccai-2024/024-Paper4098.html,Reviewer 1,2,1
https://papers.miccai.org/miccai-2024/024-Paper4098.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/024-Paper4098.html,Reviewer 3,4,5
https://papers.miccai.org/miccai-2024/025-Paper3658.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/025-Paper3658.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/025-Paper3658.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/026-Paper1953.html,Reviewer 1,3,3
https://papers.miccai.org/miccai-2024/026-Paper1953.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/026-Paper1953.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/027-Paper2689.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/027-Paper2689.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/027-Paper2689.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/028-Paper2053.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/028-Paper2053.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/028-Paper2053.html,Reviewer 3,4,4
https://papers.miccai.org/miccai-2024/029-Paper3962.html,Reviewer 1,1,2
https://papers.miccai.org/miccai-2024/029-Paper3962.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/029-Paper3962.html,Reviewer 3,4,4
https://papers.miccai.org/miccai-2024/030-Paper1279.html,Reviewer 1,2,N/A
https://papers.miccai.org/miccai-2024/030-Paper1279.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/030-Paper1279.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/031-Paper3756.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/031-Paper3756.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/031-Paper3756.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/032-Paper1108.html,Reviewer 1,3,3
https://papers.miccai.org/miccai-2024/032-Paper1108.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/032-Paper1108.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/033-Paper2509.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/033-Paper2509.html,Reviewer 2,3,5
https://papers.miccai.org/miccai-2024/033-Paper2509.html,Reviewer 3,4,5
https://papers.miccai.org/miccai-2024/034-Paper2390.html,Reviewer 1,2,2
https://papers.miccai.org/miccai-2024/034-Paper2390.html,Reviewer 2,5,5
https://papers.miccai.org/miccai-2024/034-Paper2390.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/035-Paper1005.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/035-Paper1005.html,Reviewer 2,5,N/A
https://papers.miccai.org/miccai-2024/035-Paper1005.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/036-Paper2322.html,Reviewer 1,2,3
https://papers.miccai.org/miccai-2024/036-Paper2322.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/036-Paper2322.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/037-Paper1747.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/037-Paper1747.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/037-Paper1747.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/038-Paper1674.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/038-Paper1674.html,Reviewer 2,3,4
https://papers.miccai.org/miccai-2024/038-Paper1674.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/038-Paper1674.html,Reviewer 4,6,6
https://papers.miccai.org/miccai-2024/039-Paper2570.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/039-Paper2570.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/039-Paper2570.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/040-Paper2133.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/040-Paper2133.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/040-Paper2133.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/041-Paper3065.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/041-Paper3065.html,Reviewer 2,5,N/A
https://papers.miccai.org/miccai-2024/041-Paper3065.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/042-Paper2216.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/042-Paper2216.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/042-Paper2216.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/043-Paper2040.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/043-Paper2040.html,Reviewer 2,4,5
https://papers.miccai.org/miccai-2024/043-Paper2040.html,Reviewer 3,4,5
https://papers.miccai.org/miccai-2024/044-Paper3963.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/044-Paper3963.html,Reviewer 2,3,4
https://papers.miccai.org/miccai-2024/044-Paper3963.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/045-Paper3895.html,Reviewer 1,2,4
https://papers.miccai.org/miccai-2024/045-Paper3895.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/045-Paper3895.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/046-Paper2585.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/046-Paper2585.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/046-Paper2585.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/047-Paper1423.html,Reviewer 1,2,4
https://papers.miccai.org/miccai-2024/047-Paper1423.html,Reviewer 2,4,5
https://papers.miccai.org/miccai-2024/047-Paper1423.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/048-Paper3846.html,Reviewer 1,2,2
https://papers.miccai.org/miccai-2024/048-Paper3846.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/048-Paper3846.html,Reviewer 3,4,4
https://papers.miccai.org/miccai-2024/049-Paper3688.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/049-Paper3688.html,Reviewer 2,3,N/A
https://papers.miccai.org/miccai-2024/049-Paper3688.html,Reviewer 3,4,3
https://papers.miccai.org/miccai-2024/050-Paper0173.html,Reviewer 1,2,N/A
https://papers.miccai.org/miccai-2024/050-Paper0173.html,Reviewer 2,3,4
https://papers.miccai.org/miccai-2024/050-Paper0173.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/051-Paper3227.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/051-Paper3227.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/051-Paper3227.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/052-Paper1045.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/052-Paper1045.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/052-Paper1045.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/053-Paper0165.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/053-Paper0165.html,Reviewer 2,5,N/A
https://papers.miccai.org/miccai-2024/053-Paper0165.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/054-Paper2030.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/054-Paper2030.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/054-Paper2030.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/055-Paper1749.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/055-Paper1749.html,Reviewer 2,4,5
https://papers.miccai.org/miccai-2024/055-Paper1749.html,Reviewer 3,4,5
https://papers.miccai.org/miccai-2024/056-Paper0803.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/056-Paper0803.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/056-Paper0803.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/057-Paper3005.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/057-Paper3005.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/057-Paper3005.html,Reviewer 3,6,6
https://papers.miccai.org/miccai-2024/058-Paper2017.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/058-Paper2017.html,Reviewer 2,3,3
https://papers.miccai.org/miccai-2024/058-Paper2017.html,Reviewer 3,4,5
https://papers.miccai.org/miccai-2024/059-Paper2178.html,Reviewer 1,2,N/A
https://papers.miccai.org/miccai-2024/059-Paper2178.html,Reviewer 2,3,3
https://papers.miccai.org/miccai-2024/059-Paper2178.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/060-Paper1172.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/060-Paper1172.html,Reviewer 2,4,5
https://papers.miccai.org/miccai-2024/060-Paper1172.html,Reviewer 3,6,N/A
https://papers.miccai.org/miccai-2024/061-Paper0117.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/061-Paper0117.html,Reviewer 2,5,N/A
https://papers.miccai.org/miccai-2024/061-Paper0117.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/062-Paper1358.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/062-Paper1358.html,Reviewer 2,5,N/A
https://papers.miccai.org/miccai-2024/062-Paper1358.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/063-Paper0787.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/063-Paper0787.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/063-Paper0787.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/064-Paper2801.html,Reviewer 1,2,2
https://papers.miccai.org/miccai-2024/064-Paper2801.html,Reviewer 2,3,N/A
https://papers.miccai.org/miccai-2024/064-Paper2801.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/065-Paper3820.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/065-Paper3820.html,Reviewer 2,5,N/A
https://papers.miccai.org/miccai-2024/065-Paper3820.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/066-Paper1289.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/066-Paper1289.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/066-Paper1289.html,Reviewer 3,4,5
https://papers.miccai.org/miccai-2024/067-Paper1606.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/067-Paper1606.html,Reviewer 2,3,N/A
https://papers.miccai.org/miccai-2024/067-Paper1606.html,Reviewer 3,4,4
https://papers.miccai.org/miccai-2024/068-Paper3035.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/068-Paper3035.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/068-Paper3035.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/069-Paper0233.html,Reviewer 1,2,N/A
https://papers.miccai.org/miccai-2024/069-Paper0233.html,Reviewer 2,3,N/A
https://papers.miccai.org/miccai-2024/069-Paper0233.html,Reviewer 3,6,6
https://papers.miccai.org/miccai-2024/070-Paper1781.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/070-Paper1781.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/070-Paper1781.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/071-Paper3665.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/071-Paper3665.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/071-Paper3665.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/072-Paper0442.html,Reviewer 1,2,2
https://papers.miccai.org/miccai-2024/072-Paper0442.html,Reviewer 2,3,2
https://papers.miccai.org/miccai-2024/072-Paper0442.html,Reviewer 3,4,2
https://papers.miccai.org/miccai-2024/073-Paper3539.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/073-Paper3539.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/073-Paper3539.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/074-Paper2014.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/074-Paper2014.html,Reviewer 2,3,4
https://papers.miccai.org/miccai-2024/074-Paper2014.html,Reviewer 3,4,4
https://papers.miccai.org/miccai-2024/075-Paper0584.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/075-Paper0584.html,Reviewer 2,3,5
https://papers.miccai.org/miccai-2024/075-Paper0584.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/076-Paper2508.html,Reviewer 1,2,2
https://papers.miccai.org/miccai-2024/076-Paper2508.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/076-Paper2508.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/077-Paper1746.html,Reviewer 1,3,3
https://papers.miccai.org/miccai-2024/077-Paper1746.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/077-Paper1746.html,Reviewer 3,4,4
https://papers.miccai.org/miccai-2024/078-Paper2553.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/078-Paper2553.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/078-Paper2553.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/078-Paper2553.html,Reviewer 4,6,N/A
https://papers.miccai.org/miccai-2024/079-Paper1464.html,Reviewer 1,1,3
https://papers.miccai.org/miccai-2024/079-Paper1464.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/079-Paper1464.html,Reviewer 3,4,5
https://papers.miccai.org/miccai-2024/080-Paper1595.html,Reviewer 1,3,3
https://papers.miccai.org/miccai-2024/080-Paper1595.html,Reviewer 2,4,5
https://papers.miccai.org/miccai-2024/080-Paper1595.html,Reviewer 3,4,5
https://papers.miccai.org/miccai-2024/081-Paper2427.html,Reviewer 1,2,4
https://papers.miccai.org/miccai-2024/081-Paper2427.html,Reviewer 2,5,5
https://papers.miccai.org/miccai-2024/081-Paper2427.html,Reviewer 3,6,5
https://papers.miccai.org/miccai-2024/082-Paper0271.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/082-Paper0271.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/082-Paper0271.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/083-Paper4128.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/083-Paper4128.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/083-Paper4128.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/084-Paper2993.html,Reviewer 1,2,3
https://papers.miccai.org/miccai-2024/084-Paper2993.html,Reviewer 2,3,2
https://papers.miccai.org/miccai-2024/084-Paper2993.html,Reviewer 3,4,4
https://papers.miccai.org/miccai-2024/085-Paper0262.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/085-Paper0262.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/085-Paper0262.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/086-Paper1932.html,Reviewer 1,5,N/A
https://papers.miccai.org/miccai-2024/086-Paper1932.html,Reviewer 2,5,N/A
https://papers.miccai.org/miccai-2024/086-Paper1932.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/087-Paper1510.html,Reviewer 1,2,N/A
https://papers.miccai.org/miccai-2024/087-Paper1510.html,Reviewer 2,5,4
https://papers.miccai.org/miccai-2024/087-Paper1510.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/088-Paper1419.html,Reviewer 1,2,N/A
https://papers.miccai.org/miccai-2024/088-Paper1419.html,Reviewer 2,3,4
https://papers.miccai.org/miccai-2024/088-Paper1419.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/089-Paper2202.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/089-Paper2202.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/089-Paper2202.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/090-Paper1135.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/090-Paper1135.html,Reviewer 2,4,5
https://papers.miccai.org/miccai-2024/090-Paper1135.html,Reviewer 3,5,4
https://papers.miccai.org/miccai-2024/091-Paper3075.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/091-Paper3075.html,Reviewer 2,4,5
https://papers.miccai.org/miccai-2024/091-Paper3075.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/092-Paper2248.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/092-Paper2248.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/092-Paper2248.html,Reviewer 3,4,4
https://papers.miccai.org/miccai-2024/093-Paper3885.html,Reviewer 1,3,3
https://papers.miccai.org/miccai-2024/093-Paper3885.html,Reviewer 2,3,4
https://papers.miccai.org/miccai-2024/093-Paper3885.html,Reviewer 3,3,4
https://papers.miccai.org/miccai-2024/093-Paper3885.html,Reviewer 4,5,5
https://papers.miccai.org/miccai-2024/094-Paper3117.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/094-Paper3117.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/094-Paper3117.html,Reviewer 3,4,4
https://papers.miccai.org/miccai-2024/095-Paper2796.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/095-Paper2796.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/095-Paper2796.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/096-Paper1336.html,Reviewer 1,3,2
https://papers.miccai.org/miccai-2024/096-Paper1336.html,Reviewer 2,4,5
https://papers.miccai.org/miccai-2024/096-Paper1336.html,Reviewer 3,4,4
https://papers.miccai.org/miccai-2024/097-Paper3253.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/097-Paper3253.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/097-Paper3253.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/098-Paper0908.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/098-Paper0908.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/098-Paper0908.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/098-Paper0908.html,Reviewer 4,5,N/A
https://papers.miccai.org/miccai-2024/099-Paper2799.html,Reviewer 1,5,N/A
https://papers.miccai.org/miccai-2024/099-Paper2799.html,Reviewer 2,5,N/A
https://papers.miccai.org/miccai-2024/099-Paper2799.html,Reviewer 3,6,N/A
https://papers.miccai.org/miccai-2024/100-Paper1194.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/100-Paper1194.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/100-Paper1194.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/101-Paper0424.html,Reviewer 1,3,3
https://papers.miccai.org/miccai-2024/101-Paper0424.html,Reviewer 2,4,5
https://papers.miccai.org/miccai-2024/101-Paper0424.html,Reviewer 3,6,6
https://papers.miccai.org/miccai-2024/102-Paper0208.html,Reviewer 1,2,N/A
https://papers.miccai.org/miccai-2024/102-Paper0208.html,Reviewer 2,3,4
https://papers.miccai.org/miccai-2024/102-Paper0208.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/103-Paper2262.html,Reviewer 1,4,4
https://papers.miccai.org/miccai-2024/103-Paper2262.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/103-Paper2262.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/104-Paper0453.html,Reviewer 1,5,N/A
https://papers.miccai.org/miccai-2024/104-Paper0453.html,Reviewer 2,5,N/A
https://papers.miccai.org/miccai-2024/104-Paper0453.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/105-Paper0668.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/105-Paper0668.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/105-Paper0668.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/106-Paper2563.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/106-Paper2563.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/106-Paper2563.html,Reviewer 3,4,4
https://papers.miccai.org/miccai-2024/106-Paper2563.html,Reviewer 4,4,4
https://papers.miccai.org/miccai-2024/107-Paper3335.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/107-Paper3335.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/107-Paper3335.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/108-Paper2020.html,Reviewer 1,3,2
https://papers.miccai.org/miccai-2024/108-Paper2020.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/108-Paper2020.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/109-Paper2888.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/109-Paper2888.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/109-Paper2888.html,Reviewer 3,4,N/A
https://papers.miccai.org/miccai-2024/110-Paper1779.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/110-Paper1779.html,Reviewer 2,5,N/A
https://papers.miccai.org/miccai-2024/110-Paper1779.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/111-Paper1955.html,Reviewer 1,3,N/A
